names	scores	logfoldchanges	pvals	pvals_adj	comparison	direction
LONRF1	-2.5198402	-3.4462502	0.0117408075146309	0.0499919277499188	HER2_enriched_45_vs_TNBC_enriched_33	down
UTP25	-2.5198402	-5.030192	0.0117408075146309	0.0499919277499188	HER2_enriched_45_vs_TNBC_enriched_33	down
CHML	-2.5198402	-3.5215318	0.0117408075146309	0.0499919277499188	HER2_enriched_45_vs_TNBC_enriched_33	down
PRSS16	-2.5201182	-26.526423	0.0117315454286099	0.0499886788427488	HER2_enriched_45_vs_TNBC_enriched_33	down
CYP27A1	-2.5201182	-26.69231	0.0117315454286099	0.0499886788427488	HER2_enriched_45_vs_TNBC_enriched_33	down
FBLN1	-2.5201182	-26.832943	0.0117315454286099	0.0499886788427488	HER2_enriched_45_vs_TNBC_enriched_33	down
TGFB1I1	-2.5201182	-27.12941	0.0117315454286099	0.0499886788427488	HER2_enriched_45_vs_TNBC_enriched_33	down
GSDMC	-2.5201182	-26.79107	0.0117315454286099	0.0499886788427488	HER2_enriched_45_vs_TNBC_enriched_33	down
DTNA	-2.5201182	-26.895552	0.0117315454286099	0.0499886788427488	HER2_enriched_45_vs_TNBC_enriched_33	down
SUGP2	-2.5206738	-1.3802863	0.0117130406981424	0.0499822498473333	HER2_enriched_45_vs_TNBC_enriched_33	down
FBH1	-2.521507	-1.135639	0.011685332149067	0.0498881407622278	HER2_enriched_45_vs_TNBC_enriched_33	down
CYBRD1	-2.5237293	-3.023189	0.0116117267643779	0.0495978985130596	HER2_enriched_45_vs_TNBC_enriched_33	down
UBALD2	-2.5240073	-1.2103999	0.0116025550763169	0.0495947394189952	HER2_enriched_45_vs_TNBC_enriched_33	down
CLDN1	-2.5248406	-5.4876294	0.0115750785675694	0.049501275163539	HER2_enriched_45_vs_TNBC_enriched_33	down
CYB561D2	-2.525396	-3.7688098	0.0115567929866323	0.0494470446772859	HER2_enriched_45_vs_TNBC_enriched_33	down
MIIP	-2.5276184	-2.2052085	0.011483906738269	0.049159033089946	HER2_enriched_45_vs_TNBC_enriched_33	down
POLR1E	-2.5298407	-1.8863592	0.0114114287581478	0.048884355532294	HER2_enriched_45_vs_TNBC_enriched_33	down
BOC	-2.5298407	-1.9528025	0.0114114287581478	0.048884355532294	HER2_enriched_45_vs_TNBC_enriched_33	down
AC008124.1	-2.5303965	-2.2497277	0.0113933728285973	0.0488425810399905	HER2_enriched_45_vs_TNBC_enriched_33	down
PXYLP1	-2.530952	-3.772343	0.01137534226499	0.0487889922862784	HER2_enriched_45_vs_TNBC_enriched_33	down
LINC00662	-2.5315075	-1.5368215	0.0113573370372481	0.0487236109949533	HER2_enriched_45_vs_TNBC_enriched_33	down
CA2	-2.5356743	-1.412575	0.0112231023809735	0.0481711606694912	HER2_enriched_45_vs_TNBC_enriched_33	down
BIRC2	-2.5365078	-1.3098216	0.0111964251518604	0.0480800491128201	HER2_enriched_45_vs_TNBC_enriched_33	down
COPS7A	-2.5365078	-1.0536978	0.0111964251518604	0.0480800491128201	HER2_enriched_45_vs_TNBC_enriched_33	down
TRMT6	-2.5370634	-2.5029438	0.0111786716343508	0.0480388847998343	HER2_enriched_45_vs_TNBC_enriched_33	down
BORCS8	-2.5387301	-2.9448636	0.0111255610034082	0.0478222957137972	HER2_enriched_45_vs_TNBC_enriched_33	down
PSMD10	-2.5387301	-1.2724795	0.0111255610034082	0.0478222957137972	HER2_enriched_45_vs_TNBC_enriched_33	down
C3orf38	-2.5395634	-1.5331746	0.0110990898348813	0.0477317670330201	HER2_enriched_45_vs_TNBC_enriched_33	down
ANXA6	-2.5409524	-1.4699305	0.0110550955365904	0.0475773562788141	HER2_enriched_45_vs_TNBC_enriched_33	down
TMEM42	-2.5409524	-4.9964886	0.0110550955365904	0.0475773562788141	HER2_enriched_45_vs_TNBC_enriched_33	down
COX16	-2.5423415	-1.6641146	0.0110112562321899	0.0474349648967262	HER2_enriched_45_vs_TNBC_enriched_33	down
MXD1	-2.5426192	-26.927916	0.0110025069299223	0.0474088485417533	HER2_enriched_45_vs_TNBC_enriched_33	down
PM20D2	-2.5426192	-26.722103	0.0110025069299223	0.0474088485417533	HER2_enriched_45_vs_TNBC_enriched_33	down
FRMD3	-2.5426192	-26.694267	0.0110025069299223	0.0474088485417533	HER2_enriched_45_vs_TNBC_enriched_33	down
PLAUR	-2.5426192	-27.156883	0.0110025069299223	0.0474088485417533	HER2_enriched_45_vs_TNBC_enriched_33	down
AC004951.1	-2.5426192	-26.675022	0.0110025069299223	0.0474088485417533	HER2_enriched_45_vs_TNBC_enriched_33	down
HSPA14-1	-2.5448415	-1.0140518	0.0109327345955492	0.0472004164273225	HER2_enriched_45_vs_TNBC_enriched_33	down
OPA1	-2.5459526	-1.0085747	0.0108979961014287	0.0470619533063411	HER2_enriched_45_vs_TNBC_enriched_33	down
SNX1	-2.5470638	-1.1472306	0.010863355742542	0.046923846285717	HER2_enriched_45_vs_TNBC_enriched_33	down
COQ8A	-2.548175	-3.6850424	0.010828813284309	0.0467860946135242	HER2_enriched_45_vs_TNBC_enriched_33	down
ATF6	-2.548175	-1.1490512	0.010828813284309	0.0467860946135242	HER2_enriched_45_vs_TNBC_enriched_33	down
TCTN3	-2.5490084	-2.0853682	0.0108029705470614	0.0466973089914012	HER2_enriched_45_vs_TNBC_enriched_33	down
TLE3	-2.550953	-2.003084	0.0107428839184575	0.0464489553396673	HER2_enriched_45_vs_TNBC_enriched_33	down
FSTL1	-2.5520642	-2.0048153	0.0107086822712772	0.0463237800138972	HER2_enriched_45_vs_TNBC_enriched_33	down
PARVB	-2.5526197	-2.075703	0.0106916177810592	0.0462840028819407	HER2_enriched_45_vs_TNBC_enriched_33	down
BBC3	-2.5526197	-2.0840924	0.0106916177810592	0.0462840028819407	HER2_enriched_45_vs_TNBC_enriched_33	down
ZNF622	-2.5556753	-2.0217686	0.0105981945876322	0.0459359232372318	HER2_enriched_45_vs_TNBC_enriched_33	down
PHLDA1	-2.5576198	-5.136735	0.0105391221501854	0.0456911081916516	HER2_enriched_45_vs_TNBC_enriched_33	down
ADCK2	-2.5581756	-1.3901187	0.010522298192319	0.0456293810772842	HER2_enriched_45_vs_TNBC_enriched_33	down
PREP	-2.558731	-1.5873559	0.010505498128942	0.0455677272579112	HER2_enriched_45_vs_TNBC_enriched_33	down
POLR3D	-2.559842	-1.0951923	0.0104719695706498	0.04545581871442	HER2_enriched_45_vs_TNBC_enriched_33	down
ATXN2	-2.5617867	-1.4671643	0.0104135236105492	0.0452132441210976	HER2_enriched_45_vs_TNBC_enriched_33	down
SLC25A38	-2.5637312	-1.7960234	0.0103553680740905	0.0449718113874791	HER2_enriched_45_vs_TNBC_enriched_33	down
PQLC3	-2.5637312	-5.258386	0.0103553680740905	0.0449718113874791	HER2_enriched_45_vs_TNBC_enriched_33	down
CUL2	-2.5648425	-5.097273	0.0103222662619247	0.0448501325268805	HER2_enriched_45_vs_TNBC_enriched_33	down
KLHL36	-2.5651202	-26.665218	0.0103140055372254	0.0448252777596902	HER2_enriched_45_vs_TNBC_enriched_33	down
TIMM21	-2.5651202	-26.622623	0.0103140055372254	0.0448252777596902	HER2_enriched_45_vs_TNBC_enriched_33	down
LINC02482	-2.5651202	-26.774559	0.0103140055372254	0.0448252777596902	HER2_enriched_45_vs_TNBC_enriched_33	down
ADAM9	-2.5709538	-1.5826269	0.0101418841110997	0.0441424630341279	HER2_enriched_45_vs_TNBC_enriched_33	down
CBFB	-2.5728984	-1.5000935	0.010085081288678	0.0439385825527711	HER2_enriched_45_vs_TNBC_enriched_33	down
EFTUD2	-2.5742874	-1.8131377	0.0100446814734129	0.0437950097846236	HER2_enriched_45_vs_TNBC_enriched_33	down
MED13	-2.5756762	-1.3182642	0.0100044258524168	0.0436410615984906	HER2_enriched_45_vs_TNBC_enriched_33	down
SUPT20H	-2.5759542	-2.039027	0.0099963919930321	0.0436167993860169	HER2_enriched_45_vs_TNBC_enriched_33	down
TEAD3	-2.5759542	-1.8665346	0.0099963919930321	0.0436167993860169	HER2_enriched_45_vs_TNBC_enriched_33	down
ZNF394	-2.5792875	-3.0576599	0.0099004329320344	0.0432622929880507	HER2_enriched_45_vs_TNBC_enriched_33	down
ZC3H7B	-2.5792875	-1.2443852	0.0099004329320344	0.0432622929880507	HER2_enriched_45_vs_TNBC_enriched_33	down
DOCK7	-2.5795653	-1.3510274	0.0098924735089393	0.0432489333660145	HER2_enriched_45_vs_TNBC_enriched_33	down
AKT1S1	-2.579843	-1.1849762	0.0098845197873607	0.043224870296897	HER2_enriched_45_vs_TNBC_enriched_33	down
KIAA0319L	-2.579843	-1.0721354	0.0098845197873607	0.043224870296897	HER2_enriched_45_vs_TNBC_enriched_33	down
MFN1	-2.579843	-1.3486508	0.0098845197873607	0.043224870296897	HER2_enriched_45_vs_TNBC_enriched_33	down
ABL2	-2.5815098	-1.010231	0.0098369169954843	0.0430487104130263	HER2_enriched_45_vs_TNBC_enriched_33	down
CC2D1A	-2.5820656	-2.5912418	0.0098210948531693	0.0429901311545953	HER2_enriched_45_vs_TNBC_enriched_33	down
CTSL	-2.5820656	-1.6854743	0.0098210948531693	0.0429901311545953	HER2_enriched_45_vs_TNBC_enriched_33	down
HCG18	-2.5823433	-1.0929435	0.0098131922892466	0.0429768622347376	HER2_enriched_45_vs_TNBC_enriched_33	down
STC2	-2.5831766	-1.3332361	0.0097895185849465	0.0428838270683667	HER2_enriched_45_vs_TNBC_enriched_33	down
IDS	-2.5837321	-1.3170481	0.0097737644037756	0.0428254464625333	HER2_enriched_45_vs_TNBC_enriched_33	down
TIPARP	-2.585399	-3.2968085	0.0097266373409864	0.0426295369800561	HER2_enriched_45_vs_TNBC_enriched_33	down
SNHG12	-2.5859547	-3.24969	0.0097109733884919	0.0425714597366313	HER2_enriched_45_vs_TNBC_enriched_33	down
ILVBL	-2.586788	-1.6397669	0.0096875196168767	0.0424897548197339	HER2_enriched_45_vs_TNBC_enriched_33	down
KCNK6	-2.5876212	-27.263174	0.0096641163514471	0.0423976462012147	HER2_enriched_45_vs_TNBC_enriched_33	down
AP000547.3	-2.5876212	-26.728539	0.0096641163514471	0.0423976462012147	HER2_enriched_45_vs_TNBC_enriched_33	down
HELLS	-2.5876212	-26.835428	0.0096641163514471	0.0423976462012147	HER2_enriched_45_vs_TNBC_enriched_33	down
IMMP2L	-2.5876212	-26.755718	0.0096641163514471	0.0423976462012147	HER2_enriched_45_vs_TNBC_enriched_33	down
MMD	-2.5876212	-26.698437	0.0096641163514471	0.0423976462012147	HER2_enriched_45_vs_TNBC_enriched_33	down
LOXL1	-2.5876212	-26.680073	0.0096641163514471	0.0423976462012147	HER2_enriched_45_vs_TNBC_enriched_33	down
CMTR2	-2.5876212	-5.2139473	0.0096641163514471	0.0423976462012147	HER2_enriched_45_vs_TNBC_enriched_33	down
IFITM1	-2.5876212	-3.0086012	0.0096641163514471	0.0423976462012147	HER2_enriched_45_vs_TNBC_enriched_33	down
SMIM8	-2.587899	-1.5954038	0.0096563264705686	0.0423976462012147	HER2_enriched_45_vs_TNBC_enriched_33	down
ORAI2	-2.590677	-2.0139992	0.0095787349925361	0.0421278113019194	HER2_enriched_45_vs_TNBC_enriched_33	down
EXT1	-2.5934548	-2.3389418	0.0095016999093196	0.0417994253053965	HER2_enriched_45_vs_TNBC_enriched_33	down
PARP9	-2.5951216	-1.8627086	0.0094557445140007	0.0416076339026294	HER2_enriched_45_vs_TNBC_enriched_33	down
CUTC	-2.596233	-1.7505405	0.0094252178213067	0.0414940041060272	HER2_enriched_45_vs_TNBC_enriched_33	down
CDC27	-2.5965106	-2.3568308	0.0094175998968311	0.0414708136210596	HER2_enriched_45_vs_TNBC_enriched_33	down
RHOT2	-2.5965106	-2.0686274	0.0094175998968311	0.0414708136210596	HER2_enriched_45_vs_TNBC_enriched_33	down
OVOL2	-2.5992885	-2.730054	0.0093417221959655	0.0411572255050715	HER2_enriched_45_vs_TNBC_enriched_33	down
RICTOR	-2.599844	-2.7051024	0.0093266122721615	0.0411009174681047	HER2_enriched_45_vs_TNBC_enriched_33	down
CYB561A3	-2.6009552	-1.1199993	0.0092964578259383	0.0409885053320043	HER2_enriched_45_vs_TNBC_enriched_33	down
TNIP1	-2.601233	-1.6552833	0.0092889328201152	0.0409655635118552	HER2_enriched_45_vs_TNBC_enriched_33	down
PRR34-AS1	-2.602622	-1.074999	0.0092513892580123	0.0408101908644071	HER2_enriched_45_vs_TNBC_enriched_33	down
CEP95	-2.6031775	-3.2608445	0.0092364097887091	0.040754301255757	HER2_enriched_45_vs_TNBC_enriched_33	down
